# x_m,y_m,w_tr_right_m,w_tr_left_m
6.4000,6.8400,1.4000,1.4000
6.4000,6.9400,1.4000,1.4000
6.4500,7.0400,1.3500,1.3500
6.4500,7.1400,1.3500,1.3500
6.5000,7.2400,1.3000,1.3000
6.5000,7.3400,1.3000,1.3000
6.5000,7.4400,1.3000,1.3000
6.5000,7.5400,1.3000,1.3000
6.5000,7.6400,1.3000,1.3000
6.5000,7.7400,1.3000,1.3000
6.5500,7.8400,1.2510,1.2510
6.5500,7.9400,1.2369,1.2369
6.5500,8.0400,1.2166,1.2166
6.5500,8.1400,1.2042,1.2042
6.5500,8.2400,1.2000,1.2000
6.5500,8.3400,1.2010,1.2010
6.5500,8.4400,1.2093,1.2093
6.6000,8.5400,1.1769,1.1769
6.6000,8.6400,1.2000,1.2000
6.6000,8.7400,1.2000,1.2000
6.6000,8.8400,1.2010,1.2010
6.6000,8.9400,1.2093,1.2093
6.6000,9.0400,1.2010,1.2010
6.6000,9.1400,1.1885,1.1885
6.6500,9.2400,1.2166,1.2166
6.6500,9.3400,1.2042,1.2042
6.6500,9.4400,1.2000,1.2000
6.6500,9.5400,1.1769,1.1769
6.6500,9.6400,1.1597,1.1597
6.6500,9.7400,1.1511,1.1511
6.7000,9.8400,1.2000,1.2000
6.7000,9.9400,1.2000,1.2000
6.7000,10.0400,1.2010,1.2010
6.7500,10.1400,1.2590,1.2590
6.7500,10.2400,1.2748,1.2748
6.7500,10.3400,1.2981,1.2981
6.7500,10.4400,1.3285,1.3285
6.7500,10.5400,1.3500,1.3500
6.7500,10.6400,1.3500,1.3500
6.7500,10.7400,1.3500,1.3500
6.7500,10.8400,1.3500,1.3500
6.7500,10.9400,1.3500,1.3500
6.7500,11.0400,1.3500,1.3500
6.7500,11.1400,1.3500,1.3500
6.7500,11.2400,1.3500,1.3500
6.7500,11.3400,1.3500,1.3500
6.7500,11.4400,1.3500,1.3500
6.8000,11.5400,1.4000,1.4000
6.8000,11.6400,1.4000,1.4000
6.8000,11.7400,1.4000,1.4000
6.8000,11.8400,1.4000,1.4000
6.8000,11.9400,1.4000,1.4000
6.8500,12.0400,1.4500,1.4500
6.8500,12.1400,1.4500,1.4500
6.9000,12.2400,1.4916,1.4916
6.9000,12.3400,1.4714,1.4714
6.9000,12.4400,1.4577,1.4577
6.9500,12.5400,1.5008,1.5008
6.9500,12.6400,1.5000,1.5000
6.9500,12.7400,1.5000,1.5000
7.0000,12.8400,1.5338,1.5338
7.0000,12.9400,1.5207,1.5207
7.0000,13.0400,1.5075,1.5075
7.0000,13.1400,1.5008,1.5008
7.0000,13.2400,1.4807,1.4807
7.0000,13.3400,1.4637,1.4637
7.0000,13.4400,1.4534,1.4534
7.0500,13.5400,1.4916,1.4916
7.0500,13.6400,1.4714,1.4714
7.0500,13.7400,1.4577,1.4577
7.0500,13.8400,1.4509,1.4509
7.0500,13.9400,1.4500,1.4500
7.0500,14.0400,1.4500,1.4500
7.0000,14.1400,1.4000,1.4000
7.0000,14.2400,1.4000,1.4000
6.9500,14.3400,1.3537,1.3537
6.9500,14.4400,1.3647,1.3647
6.9500,14.5400,1.3829,1.3829
6.9000,14.6400,1.3601,1.3601
6.9000,14.7400,1.3928,1.3928
6.8500,14.8400,1.3865,1.3865
6.8500,14.9400,1.4318,1.4318
6.8000,15.0400,1.4327,1.4327
6.8000,15.1400,1.4841,1.4841
6.7000,15.2400,1.4603,1.4603
6.6500,15.3400,1.4841,1.4841
6.5500,15.4400,1.4603,1.4603
6.4500,15.4900,1.4603,1.4603
6.3500,15.5400,1.4422,1.4422
6.2500,15.5900,1.4327,1.4327
6.1500,15.6400,1.4221,1.4221
6.0500,15.6400,1.3928,1.3928
5.9500,15.6900,1.4080,1.4080
5.8500,15.6900,1.3829,1.3829
5.7500,15.6400,1.3124,1.3124
5.6500,15.5900,1.2369,1.2369
5.5500,15.5900,1.2166,1.2166
5.4500,15.5400,1.1543,1.1543
5.3500,15.4900,1.1000,1.1000
5.2500,15.4400,1.0548,1.0548
5.1500,15.4400,1.0689,1.0689
5.0500,15.3900,1.0440,1.0440
4.9500,15.3400,1.0198,1.0198
4.8500,15.2400,0.9487,0.9487
4.7500,15.1900,0.9394,0.9394
4.6500,15.0900,0.8944,0.8944
4.5500,14.9900,0.8500,0.8500
4.5000,14.8900,0.8485,0.8485
4.4000,14.7900,0.8062,0.8062
4.3500,14.6900,0.8062,0.8062
4.2500,14.5900,0.7810,0.7810
4.1500,14.4900,0.7778,0.7778
4.0500,14.3900,0.7778,0.7778
3.9500,14.2900,0.7632,0.7632
3.8500,14.1900,0.7433,0.7433
3.7500,14.1400,0.7433,0.7433
3.6500,14.0400,0.7632,0.7632
3.5500,13.9400,0.7810,0.7810
3.4500,13.8400,0.8062,0.8062
3.3500,13.7400,0.8139,0.8139
3.2500,13.6400,0.8139,0.8139
3.1500,13.5400,0.7906,0.7906
3.1000,13.4400,0.8062,0.8062
3.0500,13.3400,0.7906,0.7906
2.9500,13.2400,0.7616,0.7616
2.9000,13.1400,0.7632,0.7632
2.8500,13.0400,0.7810,0.7810
2.8000,12.9400,0.7826,0.7826
2.7500,12.8400,0.7826,0.7826
2.7000,12.7400,0.7906,0.7906
2.6500,12.6400,0.8078,0.8078
2.6500,12.5400,0.7762,0.7762
2.6000,12.4400,0.8062,0.8062
2.6000,12.3400,0.8000,0.8000
2.6000,12.2400,0.8000,0.8000
2.6000,12.1400,0.8000,0.8000
2.6000,12.0400,0.8062,0.8062
2.6500,11.9400,0.7762,0.7762
2.6500,11.8400,0.8078,0.8078
2.7000,11.7400,0.7906,0.7906
2.7500,11.6400,0.7826,0.7826
2.8000,11.5400,0.7826,0.7826
2.8500,11.4400,0.7826,0.7826
2.9000,11.3400,0.7826,0.7826
2.9500,11.2400,0.7826,0.7826
3.0000,11.1400,0.7826,0.7826
3.1000,11.0400,0.8276,0.8276
3.1500,10.9400,0.8276,0.8276
3.2500,10.8400,0.8602,0.8602
3.2500,10.7400,0.8276,0.8276
3.3000,10.6400,0.8382,0.8382
3.3000,10.5400,0.8139,0.8139
3.3500,10.4400,0.8515,0.8515
3.4000,10.3400,0.9000,0.9000
3.4500,10.2400,0.9500,0.9500
3.4500,10.1400,0.9500,0.9500
3.5000,10.0400,1.0000,1.0000
3.5500,9.9400,1.0500,1.0500
3.5000,9.8400,1.0050,1.0050
3.5000,9.7400,1.0198,1.0198
3.4500,9.6400,0.9962,0.9962
3.4500,9.5400,1.0308,1.0308
3.4000,9.4400,1.0296,1.0296
3.4000,9.3400,1.0817,1.0817
3.3500,9.2400,1.0700,1.0700
3.2500,9.1400,1.0700,1.0700
3.2000,9.0400,1.0817,1.0817
3.1500,8.9400,1.0700,1.0700
3.0500,8.8400,1.0966,1.0966
2.9500,8.7400,1.0966,1.0966
2.9000,8.6400,1.0977,1.0977
2.8500,8.5400,1.0966,1.0966
2.7500,8.4400,1.1236,1.1236
2.7000,8.3400,1.1180,1.1180
2.6500,8.2400,1.1236,1.1236
2.5500,8.1400,1.1853,1.1853
2.5000,8.0400,1.1885,1.1885
2.4500,7.9400,1.2021,1.2021
2.4500,7.8400,1.1630,1.1630
2.4000,7.7400,1.1705,1.1705
2.3500,7.6400,1.1885,1.1885
2.3000,7.5400,1.2166,1.2166
2.2500,7.4400,1.2540,1.2540
2.2000,7.3400,1.3000,1.3000
2.1500,7.2400,1.3463,1.3463
2.0500,7.1900,1.4318,1.4318
1.9500,7.1400,1.5182,1.5182
1.8500,7.1400,1.4765,1.4765
1.7500,7.0900,1.4773,1.4773
1.6500,7.0900,1.4396,1.4396
1.5500,7.0900,1.4080,1.4080
1.4500,7.0400,1.4318,1.4318
1.3500,7.0400,1.4142,1.4142
1.2500,7.0400,1.4036,1.4036
1.1500,7.0900,1.3500,1.3500
1.0500,7.0900,1.3509,1.3509
0.9500,7.1400,1.3086,1.3086
0.8500,7.1400,1.3238,1.3238
0.7500,7.1400,1.3463,1.3463
0.6500,7.1400,1.3757,1.3757
0.5500,7.1900,1.3657,1.3657
0.4500,7.1900,1.4089,1.4089
0.3500,7.2400,1.4151,1.4151
0.2500,7.2400,1.4431,1.4431
0.1500,7.3400,1.4534,1.4534
0.0500,7.3900,1.3928,1.3928
0.0000,7.4900,1.3865,1.3865
-0.0500,7.5900,1.3757,1.3757
-0.1500,7.6900,1.3124,1.3124
-0.2000,7.7900,1.2855,1.2855
-0.2500,7.8900,1.2649,1.2649
