x,y,theta,velocitiess
1.843016807,-11.34486951,1.671647278,3.832999636
1.838562212,-11.30000387,1.672695451,3.846139976
1.834107616,-11.25513823,1.673743624,3.859280316
1.82965302,-11.2102726,1.674791797,3.872420656
1.825198424,-11.16540696,1.675839971,3.885560996
1.820743828,-11.12054132,1.676888144,3.898701336
1.816289233,-11.07567568,1.677936317,3.911841676
1.811834637,-11.03081004,1.67898449,3.924982017
1.807380041,-10.9859444,1.680032663,3.938122357
1.802925445,-10.94107876,1.681080836,3.951262697
1.79847085,-10.89621313,1.682129009,3.964403037
1.794016254,-10.85134749,1.683177182,3.977543377
1.789561658,-10.80648185,1.684225355,3.990683717
1.785107062,-10.76161621,1.685273528,4.003824057
1.780652466,-10.71675057,1.686321701,4.016964397
1.776197871,-10.67188493,1.687369874,4.030104737
1.771743275,-10.6270193,1.688418048,4.043245078
1.767288679,-10.58215366,1.689466221,4.056385418
1.762834083,-10.53728802,1.690514394,4.069525758
1.758379487,-10.49242238,1.691562567,4.082666098
1.753924892,-10.44755674,1.69261074,4.095806438
1.748733666,-10.40277286,1.690808224,4.107690301
1.74324148,-10.35802239,1.687841014,4.11906081
1.737749293,-10.31327192,1.684873805,4.13043132
1.732257106,-10.26852145,1.681906595,4.141801829
1.726764919,-10.22377097,1.678939385,4.153172338
1.721272732,-10.1790205,1.675972175,4.164542847
1.715780546,-10.13427003,1.673004965,4.175913357
1.710288359,-10.08951955,1.670037755,4.187283866
1.704796172,-10.04476908,1.667070545,4.198654375
1.699303985,-10.00001861,1.664103336,4.210024884
1.693811798,-9.955268135,1.661136126,4.221395394
1.688319612,-9.910517662,1.658168916,4.232765903
1.682827425,-9.865767189,1.655201706,4.244136412
1.677335238,-9.821016717,1.652234496,4.255506922
1.671843051,-9.776266244,1.649267286,4.266877431
1.666350864,-9.731515771,1.646300076,4.27824794
1.660858678,-9.686765298,1.643332866,4.289618449
1.655366491,-9.642014825,1.640365657,4.300988959
1.649874304,-9.597264352,1.637398447,4.312359468
1.644382117,-9.552513879,1.634431237,4.323729977
1.63888993,-9.507763406,1.631464027,4.335100486
1.633397744,-9.463012934,1.628496817,4.346470996
1.62928562,-9.418139147,1.623048695,4.353548181
1.62675693,-9.373123876,1.614754068,4.355699367
1.62422824,-9.328108604,1.606459441,4.357850553
1.62169955,-9.283093333,1.598164814,4.360001739
1.61917086,-9.238078061,1.589870187,4.362152926
1.61664217,-9.19306279,1.581575561,4.364304112
1.61411348,-9.148047518,1.573280934,4.366455298
1.61158479,-9.103032247,1.564986307,4.368606484
1.6090561,-9.058016975,1.55669168,4.370757671
1.60652741,-9.013001704,1.548397053,4.372908857
1.60399872,-8.967986433,1.540102426,4.375060043
1.60147003,-8.922971161,1.531807799,4.377211229
1.59894134,-8.87795589,1.523513172,4.379362416
1.59641265,-8.832940618,1.515218545,4.381513602
1.59388396,-8.787925347,1.506923918,4.383664788
1.59135527,-8.742910075,1.498629291,4.385815974
1.58882658,-8.697894804,1.490334664,4.38796716
1.58629789,-8.652879532,1.482040037,4.390118347
1.5837692,-8.607864261,1.47374541,4.392269533
1.58124051,-8.562848989,1.465450783,4.394420719
1.57871182,-8.517833718,1.457156156,4.396571905
1.57618313,-8.472818446,1.448861529,4.398723092
1.575896538,-8.427883778,1.438607193,4.396990069
1.581651127,-8.383166291,1.423072554,4.384791311
1.587405715,-8.338448804,1.407537915,4.372592552
1.593160304,-8.293731317,1.392003276,4.360393793
1.598914893,-8.24901383,1.376468636,4.348195034
1.604669481,-8.204296343,1.360933997,4.335996275
1.61042407,-8.159578856,1.345399358,4.323797516
1.616178659,-8.114861369,1.329864719,4.311598758
1.621933247,-8.070143882,1.314330079,4.299399999
1.627687836,-8.025426395,1.29879544,4.28720124
1.633442424,-7.980708908,1.283260801,4.275002481
1.639197013,-7.935991421,1.267726162,4.262803722
1.644951602,-7.891273934,1.252191523,4.250604964
1.65070619,-7.846556447,1.236656883,4.238406205
1.656460779,-7.80183896,1.221122244,4.226207446
1.662215368,-7.757121473,1.205587605,4.214008687
1.667969956,-7.712403986,1.190052966,4.201809928
1.673724545,-7.667686499,1.174518326,4.189611169
1.679479134,-7.622969012,1.158983687,4.177412411
1.685233722,-7.578251524,1.143449048,4.165213652
1.690988311,-7.533534037,1.127914409,4.153014893
1.696742899,-7.48881655,1.112379769,4.140816134
1.705859974,-7.445136214,1.094408152,4.126098625
1.726294709,-7.40494678,1.068234007,4.102903354
1.746729444,-7.364757347,1.042059862,4.079708082
1.767164179,-7.324567914,1.015885717,4.056512811
1.787598914,-7.28437848,0.989711572,4.033317539
1.808033648,-7.244189047,0.963537427,4.010122268
1.828468383,-7.203999614,0.937363282,3.986926996
1.848903118,-7.16381018,0.911189137,3.963731725
1.869337853,-7.123620747,0.885014992,3.940536454
1.889772588,-7.083431314,0.858840847,3.917341182
1.910207322,-7.04324188,0.832666702,3.894145911
1.930642057,-7.003052447,0.806492557,3.870950639
1.951076792,-6.962863014,0.780318412,3.847755368
1.971511527,-6.92267358,0.754144267,3.824560096
1.991946262,-6.882484147,0.727970122,3.801364825
2.012380997,-6.842294714,0.701795976,3.778169554
2.032815731,-6.80210528,0.675621831,3.754974282
2.053250466,-6.761915847,0.649447686,3.731779011
2.073685201,-6.721726414,0.623273541,3.708583739
2.094119936,-6.68153698,0.597099396,3.685388468
2.114554671,-6.641347547,0.570925251,3.662193196
2.134989405,-6.601158114,0.544751106,3.638997925
2.161599441,-6.56680219,0.514812557,3.608214461
2.200561543,-6.54411467,0.477344309,3.562252815
2.239523644,-6.521427149,0.43987606,3.516291168
2.278485746,-6.498739629,0.402407811,3.470329522
2.317447847,-6.476052108,0.364939563,3.424367875
2.356409949,-6.453364588,0.327471314,3.378406229
2.39537205,-6.430677067,0.290003065,3.332444582
2.434334152,-6.407989547,0.252534817,3.286482936
2.473296253,-6.385302026,0.215066568,3.240521289
2.512258355,-6.362614506,0.17759832,3.194559643
2.551220456,-6.339926985,0.140130071,3.148597996
2.590182557,-6.317239464,0.102661822,3.10263635
2.629144659,-6.294551944,0.065193574,3.056674703
2.66810676,-6.271864423,0.027725325,3.010713057
2.707068862,-6.249176903,-0.009742924,2.96475141
2.746030963,-6.226489382,-0.047211172,2.918789764
2.784993065,-6.203801862,-0.084679421,2.872828118
2.823955166,-6.181114341,-0.122147669,2.826866471
2.862917268,-6.158426821,-0.159615918,2.780904825
2.901879369,-6.1357393,-0.197084167,2.734943178
2.940841471,-6.11305178,-0.234552415,2.688981532
2.980024194,-6.092070882,-0.271427696,2.645630783
3.023474845,-6.104104578,-0.296832025,2.65278779
3.066925497,-6.116138274,-0.322236355,2.659944798
3.110376148,-6.12817197,-0.347640684,2.667101806
3.153826799,-6.140205666,-0.373045014,2.674258814
3.197277451,-6.152239362,-0.398449343,2.681415822
3.240728102,-6.164273058,-0.423853672,2.68857283
3.284178753,-6.176306754,-0.449258002,2.695729837
3.327629405,-6.18834045,-0.474662331,2.702886845
3.371080056,-6.200374146,-0.500066661,2.710043853
3.414530707,-6.212407842,-0.52547099,2.717200861
3.457981359,-6.224441538,-0.550875319,2.724357869
3.50143201,-6.236475234,-0.576279649,2.731514877
3.544882661,-6.248508929,-0.601683978,2.738671885
3.588333313,-6.260542625,-0.627088308,2.745828892
3.631783964,-6.272576321,-0.652492637,2.7529859
3.675234615,-6.284610017,-0.677896966,2.760142908
3.718685267,-6.296643713,-0.703301296,2.767299916
3.762135918,-6.308677409,-0.728705625,2.774456924
3.805586569,-6.320711105,-0.754109955,2.781613932
3.849037221,-6.332744801,-0.779514284,2.78877094
3.892487872,-6.344778497,-0.804918613,2.795927947
3.925941583,-6.373490592,-0.825703387,2.805097617
3.957036007,-6.406138803,-0.845397941,2.814742277
3.988130431,-6.438787015,-0.865092495,2.824386937
4.019224855,-6.471435227,-0.88478705,2.834031597
4.050319279,-6.504083439,-0.904481604,2.843676257
4.081413703,-6.53673165,-0.924176158,2.853320917
4.112508127,-6.569379862,-0.943870712,2.862965577
4.143602551,-6.602028074,-0.963565267,2.872610237
4.174696975,-6.634676286,-0.983259821,2.882254897
4.205791399,-6.667324497,-1.002954375,2.891899557
4.236885824,-6.699972709,-1.022648929,2.901544217
4.267980248,-6.732620921,-1.042343483,2.911188877
4.299074672,-6.765269133,-1.062038038,2.920833537
4.330169096,-6.797917344,-1.081732592,2.930478197
4.36126352,-6.830565556,-1.101427146,2.940122857
4.392357944,-6.863213768,-1.1211217,2.949767517
4.423452368,-6.89586198,-1.140816255,2.959412177
4.454546792,-6.928510191,-1.160510809,2.969056838
4.485641216,-6.961158403,-1.180205363,2.978701498
4.51673564,-6.993806615,-1.199899917,2.988346158
4.547830064,-7.026454827,-1.219594472,2.997990818
4.575714452,-7.06106324,-1.237743111,3.008692075
4.590554307,-7.103637265,-1.249609662,3.023686995
4.605394161,-7.146211291,-1.261476213,3.038681915
4.620234016,-7.188785316,-1.273342765,3.053676836
4.635073871,-7.231359341,-1.285209316,3.068671756
4.649913726,-7.273933367,-1.297075867,3.083666676
4.664753581,-7.316507392,-1.308942418,3.098661596
4.679593436,-7.359081418,-1.320808969,3.113656517
4.694433291,-7.401655443,-1.33267552,3.128651437
4.709273146,-7.444229469,-1.344542072,3.143646357
