x,y,yaw,velocities
1.93,-6.45,1.570796327,3.608214461
1.93,-6.4,0.785398163,3.562252815
1.98,-6.35,1.570796327,3.516291168
1.98,-6.3,0.785398163,3.470329522
2.03,-6.25,0.785398163,3.424367875
2.08,-6.2,0.785398163,3.378406229
2.13,-6.15,0.785398163,3.332444582
2.18,-6.1,1.570796327,3.286482936
2.18,-6.05,0.785398163,3.240521289
2.23,-6,0.785398163,3.194559643
2.28,-5.95,0.785398163,3.148597996
2.33,-5.9,0.785398163,3.10263635
2.38,-5.85,0.785398163,3.056674703
2.43,-5.8,0,3.010713057
2.48,-5.8,0.785398163,2.96475141
2.53,-5.75,0.785398163,2.918789764
2.58,-5.7,0,2.872828118
2.63,-5.7,0.785398163,2.826866471
2.68,-5.65,0,2.780904825
2.73,-5.65,0,2.734943178
2.78,-5.65,0,2.688981532
2.83,-5.65,0.785398163,2.645630783
2.88,-5.6,0,2.65278779
2.93,-5.6,0,2.659944798
2.98,-5.6,0,2.667101806
3.03,-5.6,0,2.674258814
3.08,-5.6,0,2.681415822
3.13,-5.6,0,2.68857283
3.18,-5.6,0,2.695729837
3.23,-5.6,0,2.702886845
3.28,-5.6,0.785398163,2.710043853
3.33,-5.55,0,2.717200861
3.38,-5.55,0,2.724357869
3.43,-5.55,0,2.731514877
3.48,-5.55,0,2.738671885
3.53,-5.55,0,2.745828892
3.58,-5.55,-0.785398163,2.7529859
3.63,-5.6,0,2.760142908
3.68,-5.6,0,2.767299916
3.73,-5.6,0,2.774456924
3.78,-5.6,0,2.781613932
3.83,-5.6,0,2.78877094
3.88,-5.6,0,2.795927947
3.93,-5.6,0,2.805097617
3.98,-5.6,-0.785398163,2.814742277
4.03,-5.65,0,2.824386937
4.08,-5.65,0,2.834031597
4.13,-5.65,0,2.843676257
4.18,-5.65,0,2.853320917
4.23,-5.65,0,2.862965577
4.28,-5.65,-0.785398163,2.872610237
4.33,-5.7,0,2.882254897
4.38,-5.7,0,2.891899557
4.43,-5.7,-0.785398163,2.901544217
4.48,-5.75,0,2.911188877
4.53,-5.75,-0.785398163,2.920833537
4.58,-5.8,0,2.930478197
4.63,-5.8,-0.785398163,2.940122857
4.68,-5.85,-0.785398163,2.949767517
4.73,-5.9,-1.570796327,2.959412177
4.73,-5.95,-0.785398163,2.969056838
4.78,-6,-1.570796327,2.978701498
4.78,-6.05,-1.570796327,2.988346158
4.78,-6.1,-1.570796327,2.997990818
4.78,-6.15,-1.570796327,3.008692075
4.78,-6.2,-1.570796327,3.023686995
4.78,-6.25,-1.570796327,3.038681915
4.78,-6.3,-1.570796327,3.053676836
4.78,-6.35,-1.570796327,3.068671756
4.78,-6.4,-1.570796327,3.083666676
4.78,-6.45,-1.570796327,3.098661596
4.78,-6.5,-1.570796327,3.113656517
4.78,-6.55,-1.570796327,3.128651437
4.78,-6.6,-0.785398163,3.143646357
4.83,-6.65,-1.570796327,3.158641277
4.83,-6.7,-1.570796327,3.173636198
4.83,-6.75,-1.570796327,3.188631118
4.83,-6.8,-1.570796327,3.203626038
4.83,-6.85,-1.570796327,3.218620958
4.83,-6.9,-1.570796327,3.233615879
4.83,-6.95,-1.570796327,3.248610799
4.83,-7,-1.570796327,3.263605719
4.83,-7.05,-1.570796327,3.278600639
4.83,-7.1,-1.570796327,3.29359556
4.83,-7.15,-1.570796327,3.30859048
4.83,-7.2,-1.570796327,3.3235854
4.83,-7.25,-1.570796327,3.338908589
4.83,-7.3,-1.570796327,3.355045846
4.83,-7.35,-1.570796327,3.371183104
4.83,-7.4,-1.570796327,3.387320361
4.83,-7.45,-1.570796327,3.403457619
4.83,-7.5,-1.570796327,3.419594876
4.83,-7.55,-1.570796327,3.435732134
4.83,-7.6,-1.570796327,3.451869391
4.83,-7.65,-1.570796327,3.468006649
4.83,-7.7,-1.570796327,3.484143906
4.83,-7.75,-1.570796327,3.500281164
4.83,-7.8,-1.570796327,3.516418421
4.83,-7.85,-1.570796327,3.532555679
4.83,-7.9,-0.785398163,3.548692936
4.88,-7.95,-1.570796327,3.564830194
4.88,-8,-1.570796327,3.580967452
4.88,-8.05,-1.570796327,3.597104709
4.88,-8.1,-1.570796327,3.613241967
4.88,-8.15,-1.570796327,3.629379224
4.88,-8.2,-1.570796327,3.645516482
4.88,-8.25,-1.570796327,3.661653739
4.88,-8.3,-1.570796327,3.677790997
4.88,-8.35,-1.570796327,3.693699664
4.88,-8.4,-1.570796327,3.708986975
4.88,-8.45,-1.570796327,3.724274286
4.88,-8.5,-1.570796327,3.739561596
4.88,-8.55,-1.570796327,3.754848907
4.88,-8.6,-1.570796327,3.770136218
4.88,-8.65,-1.570796327,3.785423529
4.88,-8.7,-1.570796327,3.800710839
4.88,-8.75,-1.570796327,3.81599815
4.88,-8.8,-1.570796327,3.831285461
4.88,-8.85,-0.785398163,3.846572771
4.93,-8.9,-1.570796327,3.861860082
4.93,-8.95,-1.570796327,3.877147393
4.93,-9,-1.570796327,3.892434704
4.93,-9.05,-1.570796327,3.907722014
4.93,-9.1,-1.570796327,3.923009325
4.93,-9.15,-1.570796327,3.938296636
4.93,-9.2,-1.570796327,3.953583946
4.93,-9.25,-1.570796327,3.968871257
4.93,-9.3,-1.570796327,3.984158568
4.93,-9.35,-1.570796327,3.999445879
4.93,-9.4,-1.570796327,4.014733189
4.93,-9.45,-1.570796327,4.0300205
4.93,-9.5,-1.570796327,4.043543486
4.93,-9.55,-1.570796327,4.056970804
4.93,-9.6,-1.570796327,4.070398122
4.93,-9.65,-1.570796327,4.08382544
4.93,-9.7,-1.570796327,4.097252758
4.93,-9.75,-1.570796327,4.110680075
4.93,-9.8,-1.570796327,4.124107393
4.93,-9.85,-1.570796327,4.137534711
4.93,-9.9,-1.570796327,4.150962029
4.93,-9.95,-1.570796327,4.164389347
4.93,-10,-0.785398163,4.177816664
4.98,-10.05,-1.570796327,4.191243982
4.98,-10.1,-1.570796327,4.2046713
4.98,-10.15,-1.570796327,4.218098618
4.98,-10.2,-0.785398163,4.231525936
5.03,-10.25,-1.570796327,4.244953254
5.03,-10.3,-1.570796327,4.258380571
5.03,-10.35,-1.570796327,4.271807889
5.03,-10.4,-1.570796327,4.285235207
5.03,-10.45,-1.570796327,4.298662525
5.03,-10.5,-1.570796327,4.312089843
5.03,-10.55,-1.570796327,4.325517161
5.03,-10.6,-1.570796327,4.333012305
5.03,-10.65,-1.570796327,4.337624119
5.03,-10.7,-1.570796327,4.342235933
5.03,-10.75,-1.570796327,4.346847747
5.03,-10.8,-1.570796327,4.35145956
5.03,-10.85,-1.570796327,4.356071374
5.03,-10.9,-1.570796327,4.360683188
5.03,-10.95,-1.570796327,4.365295002
5.03,-11,-1.570796327,4.369906816
5.03,-11.05,-1.570796327,4.37451863
5.03,-11.1,-1.570796327,4.379130443
5.03,-11.15,-1.570796327,4.383742257
5.03,-11.2,-1.570796327,4.388354071
5.03,-11.25,-1.570796327,4.392965885
5.03,-11.3,-1.570796327,4.397577699
5.03,-11.35,-1.570796327,4.402189513
5.03,-11.4,-1.570796327,4.406801326
5.03,-11.45,-1.570796327,4.41141314
5.03,-11.5,-1.570796327,4.416024954
5.03,-11.55,-1.570796327,4.420636768
5.03,-11.6,-1.570796327,4.425248582
5.03,-11.65,-2.35619449,4.429860396
4.98,-11.7,-1.570796327,4.425680189
4.98,-11.75,-1.570796327,4.414205113
4.98,-11.8,-1.570796327,4.402730036
4.98,-11.85,-1.570796327,4.39125496
4.98,-11.9,-1.570796327,4.379779883
4.98,-11.95,-2.35619449,4.368304807
4.93,-12,-1.570796327,4.35682973
4.93,-12.05,-1.570796327,4.345354654
4.93,-12.1,-1.570796327,4.333879577
4.93,-12.15,-1.570796327,4.322404501
4.93,-12.2,-1.570796327,4.310929424
4.93,-12.25,-2.35619449,4.299454348
4.88,-12.3,-1.570796327,4.287979272
4.88,-12.35,-1.570796327,4.276504195
4.88,-12.4,-1.570796327,4.265029119
4.88,-12.45,-1.570796327,4.253554042
4.88,-12.5,-2.35619449,4.242078966
4.83,-12.55,-1.570796327,4.230603889
4.83,-12.6,-1.570796327,4.219128813
4.83,-12.65,-1.570796327,4.207653736
4.83,-12.7,-1.570796327,4.19617866
4.83,-12.75,-1.570796327,4.184703583
4.83,-12.8,-2.35619449,4.173228507
4.78,-12.85,-1.570796327,4.143800014
4.78,-12.9,-1.570796327,4.114073929
4.78,-12.95,-1.570796327,4.084347845
4.78,-13,-1.570796327,4.05462176
4.78,-13.05,-1.570796327,4.024895676
4.78,-13.1,-2.35619449,3.995169592
4.73,-13.15,-1.570796327,3.965443507
4.73,-13.2,-1.570796327,3.935717423
4.73,-13.25,-1.570796327,3.905991338
4.73,-13.3,-2.35619449,3.876265254
4.68,-13.35,-1.570796327,3.846539169
4.68,-13.4,-1.570796327,3.816813085
4.68,-13.45,-1.570796327,3.787087001
4.68,-13.5,-2.35619449,3.757360916
4.63,-13.55,-1.570796327,3.727634832
4.63,-13.6,-1.570796327,3.697908747
4.63,-13.65,-1.570796327,3.668182663
4.63,-13.7,-1.570796327,3.638456578
4.63,-13.75,-2.35619449,3.608730494
4.58,-13.8,-1.570796327,3.57900441
4.58,-13.85,-1.570796327,3.549278325
4.58,-13.9,-1.570796327,3.486362246
4.58,-13.95,-2.35619449,3.407281694
4.53,-14,-1.570796327,3.328201142
4.53,-14.05,-1.570796327,3.249120591
4.53,-14.1,-2.35619449,3.170040039
4.48,-14.15,-1.570796327,3.090959487
4.48,-14.2,-1.570796327,3.011878935
4.48,-14.25,-1.570796327,2.932798384
4.48,-14.3,-2.35619449,2.853717832
4.43,-14.35,-1.570796327,2.77463728
4.43,-14.4,-1.570796327,2.695556729
4.43,-14.45,-1.570796327,2.616476177
4.43,-14.5,-0.785398163,2.537395625
4.48,-14.55,-1.570796327,2.458315073
4.48,-14.6,-1.570796327,2.379234522
4.48,-14.65,-1.570796327,2.30015397
4.48,-14.7,-0.785398163,2.221073418
4.53,-14.75,-1.570796327,2.141992867
4.53,-14.8,-0.785398163,2.062912315
4.58,-14.85,-1.570796327,1.983831763
4.58,-14.9,-0.785398163,2.007043567
4.63,-14.95,-0.785398163,2.042560555
4.68,-15,0,2.078077544
4.73,-15,0,2.113594532
4.78,-15,0,2.14911152
4.83,-15,0,2.184628509
4.88,-15,-0.785398163,2.220145497
4.93,-15.05,0,2.255662485
4.98,-15.05,0,2.291179474
5.03,-15.05,0,2.326696462
5.08,-15.05,0,2.36221345
5.13,-15.05,0.785398163,2.397730439
5.18,-15,0,2.433247427
5.23,-15,0,2.468764416
5.28,-15,0,2.504281404
5.33,-15,0,2.539798392
5.38,-15,0,2.575315381
5.43,-15,0,2.610832369
5.48,-15,0,2.646349357
5.53,-15,0.785398163,2.681866346
5.58,-14.95,0,2.717383334
5.63,-14.95,0,2.752900322
5.68,-14.95,0,2.76437678
5.73,-14.95,0,2.77429991
5.78,-14.95,0.785398163,2.784223039
5.83,-14.9,0,2.794146169
5.88,-14.9,0,2.804069298
5.93,-14.9,0,2.813992428
5.98,-14.9,0.785398163,2.823915557
6.03,-14.85,0,2.833838687
6.08,-14.85,0,2.843761816
6.13,-14.85,0.785398163,2.853684946
6.18,-14.8,0,2.863608075
6.23,-14.8,0,2.873531205
6.28,-14.8,0.785398163,2.883454334
6.33,-14.75,0,2.893377464
6.38,-14.75,0,2.903300593
6.43,-14.75,0.785398163,2.913223723
6.48,-14.7,0,2.923146852
6.53,-14.7,0,2.933069982
6.58,-14.7,0.785398163,2.942993111
6.63,-14.65,0,2.952916241
6.68,-14.65,0.785398163,2.962839371
6.73,-14.6,0.785398163,2.9727625
6.78,-14.55,0.785398163,2.99142097
6.83,-14.5,0.785398163,3.011415043
6.88,-14.45,0.785398163,3.031409116
6.93,-14.4,1.570796327,3.05140319
6.93,-14.35,0.785398163,3.071397263
6.98,-14.3,1.570796327,3.091391336
6.98,-14.25,1.570796327,3.111385409
6.98,-14.2,1.570796327,3.131379482
6.98,-14.15,0.785398163,3.151373555
7.03,-14.1,1.570796327,3.171367628
7.03,-14.05,1.570796327,3.191361702
7.03,-14,1.570796327,3.211355775
7.03,-13.95,1.570796327,3.231349848
7.03,-13.9,0.785398163,3.251343921
7.08,-13.85,1.570796327,3.271337994
7.08,-13.8,0.785398163,3.291332067
7.13,-13.75,1.570796327,3.31132614
7.13,-13.7,1.570796327,3.331320214
7.13,-13.65,1.570796327,3.351314287
7.13,-13.6,1.570796327,3.37130836
7.13,-13.55,1.570796327,3.391302433
7.13,-13.5,1.570796327,3.411296506
7.13,-13.45,0.785398163,3.429294885
7.18,-13.4,1.570796327,3.446533935
7.18,-13.35,1.570796327,3.463772985
7.18,-13.3,1.570796327,3.481012035
7.18,-13.25,1.570796327,3.498251084
